
**********************************************************
Atom Playback Data:   0
Log started: 10 Aug 2016 11:20:49am

LOG START
512 0 0 5000
1024 15 0 4985
1536 15 0 4985
2048 47 0 4953
2560 47 0 4953
3072 74 0 4926
3584 74 0 4926
4096 200 0 4800
4608 200 0 4800
5120 200 0 4800
5632 200 0 4800
6144 200 0 4800
6656 200 0 4800
7168 200 0 4800
7680 121 0 4879
8192 141 0 4859
8704 131 0 4869
9216 143 0 4857
9728 115 0 4885
10240 136 0 4864
10752 117 0 4883
11264 145 0 4855
11776 129 0 4871
12288 153 0 4847
12800 148 0 4852
13312 200 0 4800
13824 200 0 4800
14336 200 0 4800
14848 200 0 4800
15360 200 0 4800
15872 200 0 4800
16384 200 0 4800
16896 170 0 4830
17408 185 0 4815
17920 173 0 4827
18432 189 0 4811
18944 160 0 4840
19456 191 0 4809
19968 177 0 4823
20480 200 0 4800
20992 193 0 4807
21504 200 0 4800
22016 200 0 4800
22528 200 0 4800
23040 200 0 4800
23552 200 0 4800
24064 200 0 4800
24576 200 0 4800
25088 200 0 4800
25600 200 0 4800
26112 200 0 4800
26624 200 0 4800
27136 200 0 4800
27648 200 0 4800
28160 200 0 4800
28672 200 0 4800
29184 200 0 4800
29696 200 0 4800
30208 200 0 4800
30720 200 0 4800
31232 200 0 4800
31744 200 0 4800
32256 200 0 4800
32768 200 0 4800
33280 200 0 4800
33792 200 0 4800
34304 200 0 4800
34816 200 0 4800
35328 200 0 4800
35840 200 0 4800
36352 200 0 4800
36864 200 0 4800
37376 200 0 4800
37888 200 0 4800
38400 200 0 4800
38912 200 0 4800
39424 200 0 4800
39936 200 0 4800
40448 200 0 4800
40960 200 0 4800
41472 200 0 4800
41984 200 0 4800
42496 200 0 4800
43008 200 0 4800
43520 200 0 4800
44032 200 0 4800
44544 200 0 4800
45056 200 0 4800
45568 200 0 4800
46080 200 0 4800
46592 200 0 4800
47104 200 0 4800
47616 200 0 4800
48128 200 0 4800
48640 200 0 4800
49152 200 0 4800
49664 200 0 4800
50176 200 0 4800
50688 200 0 4800
51200 200 0 4800
51712 200 0 4800
52224 200 0 4800
52736 200 0 4800
53248 200 0 4800
53760 200 0 4800
54272 200 0 4800
54784 200 0 4800
55296 200 0 4800
55808 200 0 4800
56320 200 0 4800
56832 200 0 4800
57344 200 0 4800
57856 200 0 4800
58368 200 0 4800
58880 200 0 4800
59392 200 0 4800
59904 200 0 4800
60416 200 0 4800
60928 200 0 4800
61440 200 0 4800
61952 200 0 4800
62464 200 0 4800
62976 200 0 4800
63488 200 0 4800
64000 200 0 4800
64512 200 0 4800
65024 200 0 4800
65536 200 0 4800
66048 200 0 4800
66560 200 0 4800
67072 200 0 4800
67584 200 0 4800
68096 200 0 4800
68608 200 0 4800
69120 200 0 4800
69632 200 0 4800
70144 200 0 4800
70656 200 0 4800
71168 200 0 4800
71680 200 0 4800
72192 200 0 4800
72704 200 0 4800
73216 200 0 4800
73728 200 0 4800
74240 200 0 4800
74752 200 0 4800
75264 200 0 4800
75776 200 0 4800
76288 200 0 4800
76800 200 0 4800
77312 200 0 4800
77824 200 0 4800
78336 187 0 4813
78848 194 0 4806
79360 167 0 4833
79872 176 0 4824
80384 146 0 4854
80896 153 0 4847
81408 123 0 4877
81920 131 0 4869
82432 115 0 4885
82944 123 0 4877
