
**********************************************************
Atom Playback Data:   -2028182572
Log started: 10 Aug 2016 4:23:31pm

LOG START
512 0 0 10000
1024 42 0 9958
1536 42 0 9958
2048 112 0 9888
2560 112 0 9888
3072 180 0 9820
3584 180 0 9820
4096 200 0 9800
4608 200 0 9800
5120 200 0 9800
5632 200 0 9800
6144 200 0 9800
6656 200 0 9800
7168 200 0 9800
7680 200 0 9800
8192 200 0 9800
8704 200 0 9800
9216 200 0 9800
9728 200 0 9800
10240 200 0 9800
10752 200 0 9800
11264 200 0 9800
11776 200 0 9800
12288 200 0 9800
12800 200 0 9800
13312 200 0 9800
13824 200 0 9800
14336 200 0 9800
14848 200 0 9800
15360 200 0 9800
15872 200 0 9800
16384 200 0 9800
16896 200 0 9800
17408 200 0 9800
17920 200 0 9800
18432 200 0 9800
18944 200 0 9800
19456 200 0 9800
19968 200 0 9800
20480 200 0 9800
20992 200 0 9800
21504 200 0 9800
22016 200 0 9800
22528 200 0 9800
23040 200 0 9800
23552 200 0 9800
24064 200 0 9800
24576 200 0 9800
25088 200 0 9800
25600 200 0 9800
26112 200 0 9800
26624 200 0 9800
27136 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
