
**********************************************************
Atom Playback Data:   0
Log started: 10 Aug 2016 6:31:59pm

LOG START
512 0 0 3000
1024 9 0 2991
1536 9 0 2991
2048 22 0 2978
2560 22 0 2978
3072 34 0 2966
3584 34 0 2966
4096 150 0 2850
4608 150 0 2850
5120 175 0 2825
5632 172 0 2828
6144 180 0 2820
6656 158 0 2842
7168 163 0 2837
7680 58 0 2942
8192 69 0 2931
8704 67 0 2933
9216 77 0 2923
9728 66 0 2934
10240 75 0 2925
10752 67 0 2933
11264 87 0 2913
11776 78 0 2922
12288 96 0 2904
12800 92 0 2908
13312 188 0 2812
13824 184 0 2816
14336 193 0 2807
14848 191 0 2809
15360 200 0 2800
15872 199 0 2801
16384 200 0 2800
16896 98 0 2902
17408 106 0 2894
17920 103 0 2897
18432 112 0 2888
18944 95 0 2905
19456 110 0 2890
19968 100 0 2900
20480 113 0 2887
20992 103 0 2897
21504 144 0 2856
22016 139 0 2861
22528 200 0 2800
23040 200 0 2800
23552 200 0 2800
24064 144 0 2856
24576 164 0 2836
25088 129 0 2871
25600 147 0 2853
26112 130 0 2870
26624 138 0 2862
27136 125 0 2875
27648 164 0 2836
28160 146 0 2854
28672 177 0 2823
29184 165 0 2835
29696 200 0 2800
30208 200 0 2800
30720 200 0 2800
31232 200 0 2800
31744 200 0 2800
32256 200 0 2800
32768 200 0 2800
33280 167 0 2833
33792 180 0 2820
34304 167 0 2833
34816 181 0 2819
35328 141 0 2859
35840 152 0 2848
36352 131 0 2869
36864 150 0 2850
37376 135 0 2865
37888 152 0 2848
38400 146 0 2854
38912 172 0 2828
39424 164 0 2836
39936 200 0 2800
40448 200 0 2800
40960 200 0 2800
41472 150 0 2850
41984 165 0 2835
42496 136 0 2864
43008 146 0 2854
43520 132 0 2868
44032 158 0 2842
44544 140 0 2860
45056 151 0 2849
45568 133 0 2867
46080 163 0 2837
46592 155 0 2845
47104 200 0 2800
47616 198 0 2802
48128 200 0 2800
48640 200 0 2800
49152 200 0 2800
49664 200 0 2800
50176 200 0 2800
50688 200 0 2800
51200 200 0 2800
51712 200 0 2800
52224 200 0 2800
52736 200 0 2800
53248 200 0 2800
53760 200 0 2800
54272 200 0 2800
54784 200 0 2800
55296 200 0 2800
55808 200 0 2800
56320 200 0 2800
56832 200 0 2800
57344 200 0 2800
57856 200 0 2800
58368 200 0 2800
58880 200 0 2800
59392 200 0 2800
59904 200 0 2800
60416 200 0 2800
60928 200 0 2800
61440 200 0 2800
61952 200 0 2800
62464 200 0 2800
62976 200 0 2800
63488 200 0 2800
64000 182 0 2818
64512 196 0 2804
65024 156 0 2844
65536 167 0 2833
66048 148 0 2852
66560 160 0 2840
67072 140 0 2860
67584 171 0 2829
68096 148 0 2852
68608 177 0 2823
69120 166 0 2834
69632 200 0 2800
70144 200 0 2800
70656 200 0 2800
71168 200 0 2800
71680 200 0 2800
72192 200 0 2800
72704 200 0 2800
73216 171 0 2829
73728 187 0 2813
74240 164 0 2836
74752 179 0 2821
75264 151 0 2849
75776 158 0 2842
76288 125 0 2875
76800 133 0 2867
77312 121 0 2879
77824 128 0 2872
78336 113 0 2887
78848 117 0 2883
79360 105 0 2895
79872 112 0 2888
80384 100 0 2900
80896 104 0 2896
81408 89 0 2911
81920 93 0 2907
82432 85 0 2915
82944 92 0 2908
83456 81 0 2919
83968 84 0 2916
84480 75 0 2925
84992 77 0 2923
85504 72 0 2928
86016 76 0 2924
86528 69 0 2931
87040 77 0 2923
87552 73 0 2927
88064 77 0 2923
88576 70 0 2930
89088 71 0 2929
89600 63 0 2937
90112 65 0 2935
90624 53 0 2947
91136 64 0 2936
91648 61 0 2939
92160 63 0 2937
92672 58 0 2942
93184 59 0 2941
93696 52 0 2948
94208 53 0 2947
94720 46 0 2954
95232 49 0 2951
95744 45 0 2955
96256 48 0 2952
96768 45 0 2955
97280 45 0 2955
97792 42 0 2958
98304 48 0 2952
98816 39 0 2961
99328 50 0 2950
99840 47 0 2953
100352 47 0 2953
100864 45 0 2955
101376 46 0 2954
101888 42 0 2958
102400 48 0 2952
102912 42 0 2958
103424 55 0 2945
103936 48 0 2952
104448 50 0 2950
104960 47 0 2953
105472 197 0 2803
